Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Strawberry Lassi,6c09d93c3dca4c4768fd5830f10d2afb,155.17,620.68,0.0034,29.7500,119,0.0073,50.91,26,0.2308,0.0769,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paneer Tikka Bowl,1680a4357e2ab3fb482a56d60603525a,5542.11,22168.46,0.1200,395.7500,1583,0.0968,42.54,143,0.2448,0.1678,2025-06-30,2025-07-27,1569.36,7846.79,0.0570,120.4000,602.0000,0.0458,34.54,222.0000,0.3288,0.1486,3972.76,2.5315,14321.67,1.8252,0.0630,1.1060,275.3500,2.2870,981.0000,1.6296,0.0510,1.1137,8.00,0.2318,-79.0000,-0.3559,-0.0841,-0.2557,0.0192,0.1290
Side of Main,03d76c3a768e84f8c0bbad2f13d4188a,213.33,853.32,0.0046,40.0000,160,0.0098,52.17,28,0.2500,0.0714,2025-06-30,2025-07-27,96.50,482.51,0.0035,17.4000,87.0000,0.0066,,21.0000,0.2381,0.0476,116.83,1.2106,370.81,0.7685,0.0011,0.3183,22.6000,1.2989,73.0000,,0.0032,0.4782,,,7.0000,,0.0119,0.0500,0.0238,0.5000
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,40.56,162.25,0.0009,14.0000,56,0.0034,,7,0.0000,0.0000,2025-06-30,2025-07-27,22.90,114.50,0.0008,8.0000,40.0000,0.0030,,5.0000,0.4000,0.0000,17.66,0.7713,47.75,0.4170,0.0000,0.0563,6.0000,0.7500,16.0000,,0.0004,0.1252,,,2.0000,,-0.4000,-1.0000,0.0000,0.0000
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,3514.69,14058.78,0.0761,230.0000,920,0.0563,53.21,105,0.2190,0.1333,2025-06-30,2025-07-27,4594.57,22972.86,0.1668,319.0000,1595.0000,0.1214,41.55,321.0000,0.2710,0.0623,-1079.88,-0.2350,-8914.08,-0.3880,-0.0907,-0.5438,-89.0000,-0.2790,-675.0000,-0.4232,-0.0651,-0.5363,11.66,0.2807,-216.0000,-0.6729,-0.0520,-0.1918,0.0710,1.1400
Butter Chicken Burrito,037d8e4f48a3c66db8eaff8a4770bc84,763.38,3053.51,0.0165,57.2500,229,0.0140,36.42,97,0.2165,0.1237,2025-06-30,2025-07-27,727.96,3639.82,0.0264,55.4000,277.0000,0.0211,35.03,151.0000,0.2715,0.1391,35.41,0.0486,-586.31,-0.1611,-0.0099,-0.3746,1.8500,0.0334,-48.0000,-0.1733,-0.0071,-0.3355,1.38,0.0395,-54.0000,-0.3576,-0.0550,-0.2027,-0.0154,-0.1105
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,61.59,123.19,0.0007,21.0000,42,0.0026,,11,0.1818,0.0909,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Chili Chicken Bowl,f69c4f89d02ed8113b95711324f0c441,6380.16,25520.65,0.1382,440.0000,1760,0.1077,42.85,147,0.3265,0.2313,2025-06-30,2025-07-27,1629.46,8147.28,0.0592,115.8000,579.0000,0.0441,36.18,210.0000,0.3095,0.1810,4750.71,2.9155,17373.37,2.1324,0.0790,1.3350,324.2000,2.7997,1181.0000,2.0397,0.0636,1.4434,6.67,0.1845,-63.0000,-0.3000,0.0170,0.0549,0.0503,0.2782
Chicken Tikka + Avocado Salad,0728e0a55ce8f942b4f93af58819db09,514.45,2057.80,0.0111,33.0000,132,0.0081,67.76,38,0.2632,0.1053,2025-06-30,2025-07-27,486.95,2434.77,0.0177,34.6000,173.0000,0.0132,48.21,71.0000,0.2676,0.1408,27.50,0.0565,-376.97,-0.1548,-0.0065,-0.3700,-1.6000,-0.0462,-41.0000,-0.2370,-0.0051,-0.3867,19.54,0.4053,-33.0000,,-0.0044,-0.0166,-0.0356,-0.2526
Saag Chole,e7b06d260a320ee1e70d9b9577458895,66.79,267.15,0.0014,4.7500,19,0.0012,,1,0.0000,0.0000,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb Kofta Korma,862bcdd46106196d86cd2e9bbbd63bc2,64.32,192.95,0.0010,3.6667,11,0.0007,,1,0.0000,0.0000,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naan,29f3e38343ae99ac5524ed1ddb2b1d6e,201.06,804.23,0.0044,63.0000,252,0.0154,51.89,54,0.3148,0.1296,2025-06-30,2025-07-27,124.19,620.96,0.0045,60.8000,304.0000,0.0231,45.02,56.0000,0.3214,0.1964,76.87,0.6189,183.27,0.2951,-0.0002,-0.0346,2.2000,0.0362,-52.0000,-0.1711,-0.0077,-0.3337,6.87,0.1525,-2.0000,,-0.0066,-0.0206,-0.0668,-0.3401
Greens + Grains Bowl,3a65db2934efc6fe92bd7535047b7ae0,1944.41,7777.63,0.0421,144.0000,576,0.0352,31.87,181,0.2486,0.1547,2025-06-30,2025-07-27,1894.86,9474.32,0.0688,145.6000,728.0000,0.0554,31.24,265.0000,0.3208,0.2000,49.54,0.0261,-1696.69,-0.1791,-0.0267,-0.3881,-1.6000,-0.0110,-152.0000,-0.2088,-0.0202,-0.3640,0.63,0.0203,-84.0000,-0.3170,-0.0721,-0.2249,-0.0453,-0.2265
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,27.93,111.74,0.0006,7.7500,31,0.0019,,5,0.4000,0.2000,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Water Sparkling Water,bd334657d0647a944bf877236ce1ddf7,16.50,33.00,0.0002,5.5000,11,0.0007,,1,0.0000,0.0000,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade Juice,d6f19fa56665e191989db7a893806ea1,68.63,274.53,0.0015,27.5000,110,0.0067,,42,0.3333,0.1429,2025-06-30,2025-07-27,114.07,570.36,0.0041,41.6000,208.0000,0.0158,33.11,106.0000,0.3208,0.1038,-45.44,-0.3983,-295.83,-0.5187,-0.0027,-0.6412,-14.1000,-0.3389,-98.0000,-0.4712,-0.0091,-0.5749,,,-64.0000,-0.6038,0.0126,0.0392,0.0391,0.3766
