Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Paneer Tikka Bowl,1680a4357e2ab3fb482a56d60603525a,3219.32,16096.60,0.0440,242.8000,1214,0.0308,25.71,1016,0.1407,0.0620,2025-05-26,2025-06-29,3494.36,17471.79,0.0481,279.6000,1398.0000,0.0336,24.39,1157.0000,0.1876,0.0873,-275.04,-0.0787,-1375.19,-0.0787,-0.0041,-0.0851,-36.8000,-0.1316,-184.0000,-0.1316,-0.0028,-0.0838,1.32,0.0542,-141.0000,-0.1219,-0.0468,-0.2496,-0.0253,-0.2897
Eurest Bowl,2c5fee8f12e4c6db066ecb2b6fa01598,3498.38,6996.75,0.0191,245.5000,491,0.0125,,0,0.0000,0.0000,2025-05-26,2025-06-29,1515.25,4545.75,0.0125,106.3333,319.0000,0.0077,,0.0000,0.0000,0.0000,1983.12,1.3088,2451.00,0.5392,0.0066,0.5285,139.1667,1.3088,172.0000,0.5392,0.0048,0.6241,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Vanilla Mango Lassi Soft Serve,7d7ff21d8d65e0aec403985229bec204,173.50,867.50,0.0024,44.8000,224,0.0057,11.99,151,0.1987,0.0464,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Paneer Burrito,4c8c37c969bd13578ef2d13e11781bd9,952.46,4762.30,0.0130,73.2000,366,0.0093,28.75,304,0.0987,0.0362,2025-05-26,2025-06-29,1042.34,5211.71,0.0144,81.4000,407.0000,0.0098,26.98,359.0000,0.1588,0.0418,-89.88,-0.0862,-449.41,-0.0862,-0.0013,-0.0926,-8.2000,-0.1007,-41.0000,-0.1007,-0.0005,-0.0511,1.77,0.0657,-55.0000,-0.1532,-0.0601,-0.3785,-0.0056,-0.1340
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,163.43,817.13,0.0022,45.0000,225,0.0057,23.70,205,0.1366,0.0195,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swirl Soft Serve,5c81ddf65ea7d6a47fd8bbbc27c484aa,38.00,190.00,0.0005,9.2000,46,0.0012,,34,0.2353,0.0000,2025-05-26,2025-06-29,142.90,714.50,0.0020,30.8000,154.0000,0.0037,10.61,121.0000,0.1818,0.0744,-104.90,-0.7341,-524.50,-0.7341,-0.0014,-0.7359,-21.6000,-0.7013,-108.0000,-0.7013,-0.0025,-0.6847,,,-87.0000,-0.7190,0.0535,0.2941,-0.0744,-1.0000
Eurest Double Protein Bowl,70ada3482a674616079f490abacaeb54,252.00,504.00,0.0014,14.0000,28,0.0007,,0,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai Soft Serve,18e2ad0e6e8d379c6c5cf8f72a9d1cf8,14.00,70.00,0.0002,3.0000,15,0.0004,,14,0.1429,0.0000,2025-05-26,2025-06-29,158.92,794.60,0.0022,43.0000,215.0000,0.0052,11.07,137.0000,0.1533,0.0438,-144.92,-0.9119,-724.60,-0.9119,-0.0020,-0.9125,-40.0000,-0.9302,-200.0000,-0.9302,-0.0048,-0.9265,,,-123.0000,-0.8978,-0.0104,-0.0680,-0.0438,-1.0000
USHOR Mango Lassi,08d5196165a772f3132e80aadba27b4d,72.00,72.00,0.0002,12.0000,12,0.0003,,0,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Marriott Tandoori Paneer Bowl,3f8951b8e0b2a47d7de013a64ea174a2,439.04,439.04,0.0012,28.0000,28,0.0007,,0,0.0000,0.0000,2025-05-26,2025-06-29,313.60,627.20,0.0017,20.0000,40.0000,0.0010,,0.0000,0.0000,0.0000,125.44,0.4000,-188.16,-0.3000,-0.0005,-0.3049,8.0000,0.4000,-12.0000,,-0.0003,-0.2612,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Grain Bowl,8f1eb7b733a778fa96d20356d25b7acb,12290.38,61451.92,0.1681,940.0000,4700,0.1192,20.13,3427,0.1605,0.1045,2025-05-26,2025-06-29,16122.08,80610.39,0.2221,1314.8000,6574.0000,0.1580,19.16,4654.0000,0.1979,0.1298,-3831.69,-0.2377,-19158.47,-0.2377,-0.0540,-0.2430,-374.8000,-0.2851,-1874.0000,-0.2851,-0.0388,-0.2457,0.97,0.0504,-1227.0000,-0.2636,-0.0374,-0.1890,-0.0253,-0.1951
Rupee Lager,c9498895e746193d9ea035f9a81c3e40,185.25,741.00,0.0020,27.0000,108,0.0027,,93,0.1183,0.0753,2025-05-26,2025-06-29,173.50,694.00,0.0019,24.0000,96.0000,0.0023,,85.0000,0.0588,0.0118,11.75,0.0677,47.00,0.0677,0.0001,0.0603,3.0000,0.1250,12.0000,,0.0004,0.1873,,,8.0000,,0.0595,1.0107,0.0635,5.3977
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,1928.36,9641.78,0.0264,139.4000,697,0.0177,24.75,611,0.1211,0.0409,2025-05-26,2025-06-29,2243.50,11217.49,0.0309,186.2000,931.0000,0.0224,22.29,734.0000,0.1267,0.0300,-315.14,-0.1405,-1575.71,-0.1405,-0.0045,-0.1464,-46.8000,-0.2513,-234.0000,-0.2513,-0.0047,-0.2101,2.45,0.1101,-123.0000,-0.1676,-0.0056,-0.0441,0.0109,0.3651
Eurest Premium Bowl,105e6e46e27685dcafd676eb7f082ec9,3622.50,7245.00,0.0198,225.0000,450,0.0114,,0,0.0000,0.0000,2025-05-26,2025-06-29,1534.87,4604.60,0.0127,95.3333,286.0000,0.0069,,0.0000,0.0000,0.0000,2087.63,1.3601,2640.40,0.5734,0.0071,0.5625,129.6667,1.3601,164.0000,0.5734,0.0045,0.6602,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Indaba Sauvignon Blanc-gl,c95747c2f48508d23228980862fbc7ec,34.00,102.00,0.0003,5.0000,15,0.0004,,13,0.2308,0.0769,2025-05-26,2025-06-29,19.95,79.80,0.0002,3.5000,14.0000,0.0003,,13.0000,0.1538,0.0000,14.05,0.7043,22.20,,0.0001,0.2693,1.5000,0.4286,1.0000,,0.0000,0.1310,,,0.0000,,0.0769,0.5000,0.0769,0.0000
HUNGRY BYO Chicken Tikka Bowl,98f78c1284b00cc23dfc5cd33cdba7a8,2530.00,2530.00,0.0069,220.0000,220,0.0056,,0,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mont Gravet Rose-gl,164ba12383ac667eb06ece5c9fccfefd,11.50,23.00,0.0001,2.0000,4,0.0001,,3,0.3333,0.3333,2025-05-26,2025-06-29,24.80,124.00,0.0003,4.0000,20.0000,0.0005,,17.0000,0.1176,0.0000,-13.30,-0.5363,-101.00,-0.8145,-0.0003,-0.8158,-2.0000,-0.5000,-16.0000,,-0.0004,-0.7900,,,-14.0000,,0.2157,1.8333,0.3333,0.0000
Chicken Tikka Bowl,19eee3ab8ae56d4fa56ef6ce1485693d,9825.85,49129.25,0.1344,842.2000,4211,0.1068,19.74,3297,0.1444,0.0770,2025-05-26,2025-06-29,8601.82,43009.08,0.1185,803.6000,4018.0000,0.0966,18.78,3086.0000,0.1504,0.0839,1224.03,0.1423,6120.17,0.1423,0.0159,0.1344,38.6000,0.0480,193.0000,0.0480,0.0102,0.1058,0.96,0.0509,211.0000,0.0684,-0.0060,-0.0398,-0.0069,-0.0821
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,2599.81,12999.06,0.0356,189.2000,946,0.0240,27.02,803,0.1108,0.0486,2025-05-26,2025-06-29,791.31,3956.55,0.0109,56.2000,281.0000,0.0068,29.99,251.0000,0.0837,0.0239,1808.50,2.2855,9042.51,2.2855,0.0247,2.2626,133.0000,2.3665,665.0000,2.3665,0.0172,2.5520,-2.97,-0.0991,552.0000,2.1992,0.0272,0.3247,0.0247,1.0318
Wild Kombucha - Mango Peach,c5637f01dae60eb3ac82016ed498641e,117.80,589.00,0.0016,26.6000,133,0.0034,21.38,111,0.1892,0.0811,2025-05-26,2025-06-29,211.49,1057.44,0.0029,43.6000,218.0000,0.0052,25.82,196.0000,0.1480,0.0459,-93.69,-0.4430,-468.44,-0.4430,-0.0013,-0.4469,-17.0000,-0.3899,-85.0000,-0.3899,-0.0019,-0.3563,-4.44,-0.1721,-85.0000,-0.4337,0.0412,0.2787,0.0352,0.7658
Cucumber Raita,b6aef261062648a464a75abf3a88d636,66.60,333.00,0.0009,25.2000,126,0.0032,24.47,104,0.0673,0.0192,2025-05-26,2025-06-29,62.10,310.48,0.0009,21.2000,106.0000,0.0025,28.06,96.0000,0.1146,0.0417,4.50,0.0725,22.52,0.0725,0.0001,0.0651,4.0000,0.1887,20.0000,0.1887,0.0006,0.2539,-3.59,-0.1280,8.0000,,-0.0473,-0.4126,-0.0224,-0.5385
Borsao Granache-gl,998ea9ae9225821e59f21b9bc4cbfe56,17.67,53.00,0.0001,2.3333,7,0.0002,,6,0.1667,0.1667,2025-05-26,2025-06-29,9.25,37.00,0.0001,1.2500,5.0000,0.0001,,4.0000,0.2500,0.0000,8.42,0.9099,16.00,,0.0000,0.4225,1.0833,0.8667,2.0000,,0.0001,0.4833,,,2.0000,,-0.0833,-0.3333,0.1667,0.0000
That Fire Hot Sauce - Side,14e40e9f01921c00a883fd7cd5d5130f,7.33,22.00,0.0001,15.0000,45,0.0011,,31,0.1613,0.0645,2025-05-26,2025-06-29,0.75,1.50,0.0000,1.5000,3.0000,0.0001,,3.0000,0.3333,0.0000,6.58,8.7778,20.50,,0.0001,13.5646,13.5000,9.0000,42.0000,,0.0011,14.8472,,,28.0000,,-0.1720,-0.5161,0.0645,0.0000
Kingfisher,ac4b1052eb1e709f36c70fd1f6f49be8,59.00,118.00,0.0003,13.5000,27,0.0007,,21,0.1905,0.1429,2025-05-26,2025-06-29,85.96,257.87,0.0007,19.6667,59.0000,0.0014,,51.0000,0.0980,0.0000,-26.96,-0.3136,-139.87,-0.5424,-0.0004,-0.5456,-6.1667,-0.3136,-32.0000,,-0.0007,-0.5169,,,-30.0000,,0.0924,0.9429,0.1429,0.0000
Territory Spiced Beef and Chickpea Bowl,8970e7f3fd1aa52d192ea89f6ef5bc79,50.46,50.46,0.0001,6.0000,6,0.0002,,0,0.0000,0.0000,2025-05-26,2025-06-29,92.51,92.51,0.0003,11.0000,11.0000,0.0003,,0.0000,0.0000,0.0000,-42.05,-0.4545,-42.05,,-0.0001,-0.4583,-5.0000,-0.4545,-5.0000,,-0.0001,-0.4242,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Burrito,19dfcc1e39e0cab78562faa5ab55adbb,487.59,2437.96,0.0067,37.2000,186,0.0047,24.13,163,0.1595,0.0429,2025-05-26,2025-06-29,335.56,1677.81,0.0046,26.6000,133.0000,0.0032,24.95,125.0000,0.1520,0.0400,152.03,0.4531,760.15,0.4531,0.0020,0.4429,10.6000,0.3985,53.0000,0.3985,0.0015,0.4754,-0.82,-0.0329,38.0000,0.3040,0.0075,0.0494,0.0029,0.0736
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,562.37,2811.85,0.0077,44.4000,222,0.0056,32.19,189,0.1376,0.0265,2025-05-26,2025-06-29,263.23,1316.15,0.0036,21.0000,105.0000,0.0025,,90.0000,0.1000,0.0222,299.14,1.1364,1495.70,1.1364,0.0041,1.1216,23.4000,1.1143,117.0000,1.1143,0.0031,1.2306,,,99.0000,,0.0376,0.3757,0.0042,0.1905
