Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
HUNGRY BYO Chicken Tikka Bowl,49c83c8a5cd9f03b160e1337c7a6d07c,6273.25,12546.50,0.0061,545.5000,1091,0.0048,,0,0.0000,0.0000,2025-01-02,2025-08-25,1869.00,1869.00,0.0009,178.0000,178.0000,0.0007,,0.0000,0.0000,0.0000,4404.25,2.3565,10677.50,5.7129,0.0052,6.1284,367.5000,2.0646,913.0000,5.1292,0.0041,5.9084,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Aramark Marriott BYO Open Item,1d31ef238f792817b1676bea3e313e05,759.66,759.66,0.0004,2.0000,2,0.0000,,0,,,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Marriott Extra Spicy Chicken,3c2fceeb1e4c49958990d4b1194d4f52,21.96,21.96,0.0000,4.0000,4,0.0000,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Marriott BYO Paneer Bowl,81da1b5041227673c152619e9e47bd0f,424.44,424.44,0.0002,27.0000,27,0.0001,,0,0.0000,0.0000,2025-01-02,2025-08-25,705.36,705.36,0.0003,45.0000,45.0000,0.0002,,0.0000,0.0000,0.0000,-280.92,-0.3983,-280.92,-0.3983,-0.0001,-0.3610,-18.0000,-0.4000,-18.0000,,-0.0001,-0.3277,,,0.0000,,0.0000,0.0000,0.0000,0.0000
HUNGRY Veggies,790365c0e6600906c1f142ecd0da1b51,150.00,300.00,0.0001,6.0000,12,0.0001,,0,0.0000,0.0000,2025-01-02,2025-08-25,1507.00,1507.00,0.0007,59.0000,59.0000,0.0002,,0.0000,0.0000,0.0000,-1357.00,-0.9005,-1207.00,-0.8009,-0.0005,-0.7886,-53.0000,-0.8983,-47.0000,,-0.0002,-0.7716,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,15348.15,76740.76,0.0372,1099.6000,5498,0.0243,27.17,4495,0.1356,0.0521,2025-01-02,2025-08-25,5540.22,27701.08,0.0126,399.6000,1998.0000,0.0078,28.02,1743.0000,0.1905,0.0602,9807.94,1.7703,49039.68,1.7703,0.0245,1.9418,700.0000,1.7518,3500.0000,1.7518,0.0165,2.1025,-0.86,-0.0305,2752.0000,1.5789,-0.0549,-0.2880,-0.0082,-0.1355
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,2899.70,14498.50,0.0070,232.8000,1164,0.0052,28.53,960,0.1497,0.0397,2025-01-02,2025-08-25,1548.07,7740.37,0.0035,124.8000,624.0000,0.0024,29.91,548.0000,0.1825,0.0365,1351.63,0.8731,6758.13,0.8731,0.0035,0.9890,108.0000,0.8654,540.0000,0.8654,0.0027,1.1029,-1.38,-0.0462,412.0000,0.7518,-0.0328,-0.1798,0.0032,0.0887
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,1050.11,5250.55,0.0025,406.2000,2031,0.0090,19.47,1460,0.1683,0.0550,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai - Oat Milk,d1d6cda5119313e3fecde5947361fe9f,431.90,2159.50,0.0010,92.6000,463,0.0020,21.74,378,0.1644,0.0411,2025-01-02,2025-08-25,579.55,2897.76,0.0013,155.4000,777.0000,0.0031,19.81,536.0000,0.2257,0.0354,-147.65,-0.2548,-738.26,-0.2548,-0.0003,-0.2086,-62.8000,-0.4041,-314.0000,-0.4041,-0.0010,-0.3282,1.93,0.0972,-158.0000,-0.2948,-0.0614,-0.2718,0.0056,0.1593
Side of Veggie,2bf13144a231acbd18bd6f39bace242a,310.28,1551.40,0.0008,64.2000,321,0.0014,23.62,264,0.2321,0.0476,2025-01-02,2025-08-25,458.21,2291.04,0.0010,91.2000,456.0000,0.0018,22.87,273.0000,0.2857,0.0842,-147.93,-0.3228,-739.64,-0.3228,-0.0003,-0.2809,-27.0000,-0.2961,-135.0000,-0.2961,-0.0004,-0.2061,0.75,0.0328,-9.0000,-0.0330,-0.0536,-0.1875,-0.0366,-0.4348
Spiked Lassi,848bdd83bf207aa9ceca2927f4112998,163.80,819.00,0.0004,21.4000,107,0.0005,,81,0.0656,0.0492,2025-01-02,2025-08-25,771.73,3858.63,0.0018,105.8000,529.0000,0.0021,30.74,414.0000,0.1522,0.0411,-607.93,-0.7877,-3039.63,-0.7877,-0.0014,-0.7746,-84.4000,-0.7977,-422.0000,-0.7977,-0.0016,-0.7718,,,-333.0000,-0.8043,-0.0866,-0.5691,0.0081,0.1977
Aramark Harvest Vegetables Bowl,9688e7194cb1feea9d2b1d125e3ac3c5,1233.10,1233.10,0.0006,89.0000,89,0.0004,,0,0.0000,0.0000,2025-01-02,2025-08-25,1509.06,3018.12,0.0014,109.0000,218.0000,0.0009,,0.0000,0.0000,0.0000,-275.96,-0.1829,-1785.02,-0.5914,-0.0008,-0.5661,-20.0000,-0.1835,-129.0000,-0.5917,-0.0005,-0.5397,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Eurest Bowl,2c5fee8f12e4c6db066ecb2b6fa01598,9608.07,28824.20,0.0140,673.3333,2020,0.0089,,0,0.0000,0.0000,2025-01-02,2025-08-25,4897.25,14691.75,0.0067,343.6667,1031.0000,0.0040,,0.0000,0.0000,0.0000,4710.82,0.9619,14132.45,0.9619,0.0073,1.0834,329.6667,0.9593,989.0000,0.9593,0.0049,1.2090,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Territory Spiced Beef and Chickpea Bowl,8970e7f3fd1aa52d192ea89f6ef5bc79,925.10,925.10,0.0004,110.0000,110,0.0005,,0,0.0000,0.0000,2025-01-02,2025-08-25,723.26,723.26,0.0003,86.0000,86.0000,0.0003,,0.0000,0.0000,0.0000,201.84,0.2791,201.84,0.2791,0.0001,0.3582,24.0000,0.2791,24.0000,,0.0001,0.4408,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Aramark Marriott BYO Harvest Veg Bowl,627a4bf5a73627cda4e20bf100369d99,199.08,199.08,0.0001,14.0000,14,0.0001,,0,0.0000,0.0000,2025-01-02,2025-08-25,1236.74,1236.74,0.0006,87.0000,87.0000,0.0003,,0.0000,0.0000,0.0000,-1037.66,-0.8390,-1037.66,-0.8390,-0.0005,-0.8291,-73.0000,-0.8391,-73.0000,,-0.0003,-0.8187,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Aramark Marriott Chicken Curry Bowl,39ad98dff9725e094b5847c34e1cc598,440.82,440.82,0.0002,31.0000,31,0.0001,,0,0.0000,0.0000,2025-01-02,2025-08-25,4463.19,4463.19,0.0020,314.0000,314.0000,0.0012,,0.0000,0.0000,0.0000,-4022.37,-0.9012,-4022.37,-0.9012,-0.0018,-0.8951,-283.0000,-0.9013,-283.0000,-0.9013,-0.0011,-0.8889,,,0.0000,,0.0000,0.0000,0.0000,0.0000
HUNGRY Grains,b67b1b2b7a9bd2b0c3164da711efaaf0,285.00,570.00,0.0003,13.0000,26,0.0001,,0,0.0000,0.0000,2025-01-02,2025-08-25,945.00,945.00,0.0004,53.0000,53.0000,0.0002,,0.0000,0.0000,0.0000,-660.00,-0.6984,-375.00,-0.3968,-0.0002,-0.3595,-40.0000,-0.7547,-27.0000,,-0.0001,-0.4471,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Aramark Marriott Extra Paneer,c50b01ef61c9441698c77f9219e1642c,20.48,20.48,0.0000,4.0000,4,0.0000,,0,0.0000,0.0000,2025-01-02,2025-08-25,30.72,30.72,0.0000,6.0000,6.0000,0.0000,,0.0000,0.0000,0.0000,-10.24,-0.3333,-10.24,,-0.0000,-0.2921,-2.0000,-0.3333,-2.0000,,-0.0000,-0.2500,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Chicken Tikka Masala,267c2347c906518c838773cc8332e72e,9185.43,45927.17,0.0222,665.2000,3326,0.0147,26.06,2664,0.1738,0.0745,2025-01-02,2025-08-25,3744.61,18723.04,0.0085,274.0000,1370.0000,0.0054,27.38,1180.0000,0.2110,0.0763,5440.83,1.4530,27204.13,1.4530,0.0137,1.6048,391.2000,1.4277,1956.0000,1.4277,0.0093,1.7371,-1.32,-0.0482,1484.0000,1.2576,-0.0372,-0.1763,-0.0018,-0.0233
Aramark Tandoori Paneer Bowl,5632e59bde719e60562d9ae604b2d427,8911.92,8911.92,0.0043,592.0000,592,0.0026,,0,0.0000,0.0000,2025-01-02,2025-08-25,5270.98,10541.96,0.0048,350.0000,700.0000,0.0027,,0.0000,0.0000,0.0000,3640.94,0.6908,-1630.04,-0.1546,-0.0005,-0.1023,242.0000,0.6914,-108.0000,-0.1543,-0.0001,-0.0466,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Chicken Tikka Burrito,0ce9930d26d4eadb01c2e82930e01443,335.91,1679.54,0.0008,29.8000,149,0.0007,21.08,115,0.2840,0.0247,2025-01-02,2025-08-25,6900.16,34500.78,0.0157,620.8000,3104.0000,0.0122,20.63,2575.0000,0.1984,0.0513,-6564.25,-0.9513,-32821.24,-0.9513,-0.0149,-0.9483,-591.0000,-0.9520,-2955.0000,-0.9520,-0.0115,-0.9459,0.45,0.0218,-2460.0000,-0.9553,0.0855,0.4309,-0.0266,-0.5183
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,753.02,3765.08,0.0018,273.0000,1365,0.0060,23.67,1145,0.1634,0.0528,2025-01-02,2025-08-25,1084.72,5423.60,0.0025,382.8000,1914.0000,0.0075,23.52,1644.0000,0.1740,0.0493,-331.70,-0.3058,-1658.52,-0.3058,-0.0007,-0.2628,-109.8000,-0.2868,-549.0000,-0.2868,-0.0015,-0.1960,0.15,0.0065,-499.0000,-0.3035,-0.0106,-0.0608,0.0036,0.0722
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,2797.24,13986.22,0.0068,886.2000,4431,0.0196,22.64,3429,0.1524,0.0601,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconut Harvest Bowl,c0a65853ed069065ae003710b5e7a131,167.99,671.97,0.0003,12.5000,50,0.0002,,49,,,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNGRY BYO Cauliflower & Potato Bowl,5ef40fa5b725328d79dc949b816ab4c5,1449.00,2898.00,0.0014,138.0000,276,0.0012,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutrl Black Cherry,f583ecef4a4aa3a20ce7a0508414d5a5,35.00,35.00,0.0000,10.0000,10,0.0000,,8,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foodworks BYO Premium Bowl,678fc547ec346b2eab32edfd766b061e,9625.40,9625.40,0.0047,596.0000,596,0.0026,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Territory Ginger Curry Beef with Lemon Rice,038d29e5df63b8025e2c131c47b2cca1,2431.00,2431.00,0.0012,275.0000,275,0.0012,,0,0.0000,0.0000,2025-01-02,2025-08-25,2793.44,2793.44,0.0013,316.0000,316.0000,0.0012,,0.0000,0.0000,0.0000,-362.44,-0.1297,-362.44,-0.1297,-0.0001,-0.0759,-41.0000,-0.1297,-41.0000,-0.1297,-0.0000,-0.0185,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Shutdown Bowl - Veg,8143ebb55d1b82045a1db569f98b01e5,9.50,19.00,0.0000,1.0000,2,0.0000,,2,0.5000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USHOR Self Checkout,9db2c0727894061286daa78c93723b14,786.00,1572.00,0.0008,1.0000,2,0.0000,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNGRY Mains,74e7de0f09101a7be561b5d3d3058564,1806.50,3613.00,0.0018,26.5000,53,0.0002,,0,0.0000,0.0000,2025-01-02,2025-08-25,5056.00,5056.00,0.0023,85.0000,85.0000,0.0003,,0.0000,0.0000,0.0000,-3249.50,-0.6427,-1443.00,-0.2854,-0.0006,-0.2412,-58.5000,-0.6882,-32.0000,,-0.0001,-0.2964,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Mango Lassi for a Group - 1 Gallon,00106d18a2df12dc6257f1e8a7123609,125.00,250.00,0.0001,2.5000,5,0.0000,,3,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iced Oat Masala Chai,4b20ca2314d50af8a833d825f8497f0e,971.39,4856.95,0.0024,188.2000,941,0.0042,25.69,791,0.1725,0.0400,2025-01-02,2025-08-25,1318.40,6592.01,0.0030,271.8000,1359.0000,0.0053,22.67,1131.0000,0.1989,0.0389,-347.01,-0.2632,-1735.06,-0.2632,-0.0007,-0.2176,-83.6000,-0.3076,-418.0000,-0.3076,-0.0012,-0.2193,3.02,0.1331,-340.0000,-0.3006,-0.0264,-0.1329,0.0011,0.0282
Aramark Lamb Bowl,6e3e799a4f29f2f1d4705368c65c296e,10295.81,10295.81,0.0050,624.0000,624,0.0028,,0,0.0000,0.0000,2025-01-02,2025-08-25,3640.97,10922.92,0.0050,220.6667,662.0000,0.0026,,0.0000,0.0000,0.0000,6654.84,1.8278,-627.11,-0.0574,0.0000,0.0009,403.3333,1.8278,-38.0000,-0.0574,0.0002,0.0627,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Kids BYO,66c163b662cda637cb2478e2112386c7,5055.06,25275.28,0.0122,716.2000,3581,0.0158,22.49,2223,0.2304,0.1594,2025-01-02,2025-08-25,5673.75,28368.77,0.0129,795.0000,3975.0000,0.0156,24.67,2442.0000,0.2101,0.1282,-618.70,-0.1090,-3093.49,-0.1090,-0.0007,-0.0539,-78.8000,-0.0991,-394.0000,-0.0991,0.0002,0.0157,-2.18,-0.0882,-219.0000,-0.0897,0.0203,0.0966,0.0312,0.2434
Open Water Sparkling Water,bd334657d0647a944bf877236ce1ddf7,293.04,1465.20,0.0007,123.2000,616,0.0027,18.28,406,0.1987,0.0879,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingfisher,ac4b1052eb1e709f36c70fd1f6f49be8,364.67,1094.00,0.0005,81.3333,244,0.0011,27.75,180,0.1562,0.0547,2025-01-02,2025-08-25,531.47,1594.41,0.0007,117.0000,351.0000,0.0014,26.67,279.0000,0.1398,0.0323,-166.80,-0.3139,-500.41,-0.3139,-0.0002,-0.2714,-35.6667,-0.3048,-107.0000,-0.3048,-0.0003,-0.2163,1.08,0.0407,-99.0000,-0.3548,0.0165,0.1178,0.0224,0.6953
Territory Spicy Peanut Noodle Bowl,f32b2b8ca579af2c075862176a0ea7a2,2512.17,2512.17,0.0012,271.0000,271,0.0012,,0,0.0000,0.0000,2025-01-02,2025-08-25,4968.72,4968.72,0.0023,536.0000,536.0000,0.0021,,0.0000,0.0000,0.0000,-2456.55,-0.4944,-2456.55,-0.4944,-0.0010,-0.4631,-265.0000,-0.4944,-265.0000,-0.4944,-0.0009,-0.4301,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Cureate Tandoori Paneer Bowl,3376356ad89c194dbaf7fc90d8adb7a5,1053.25,3159.75,0.0015,91.6667,275,0.0012,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark Marriott BYO Chicken Bowl,f351249659d93d739d7a2873d0c5cd18,1251.36,1251.36,0.0006,88.0000,88,0.0004,,0,0.0000,0.0000,2025-01-02,2025-08-25,2629.87,2629.87,0.0012,185.0000,185.0000,0.0007,,0.0000,0.0000,0.0000,-1378.51,-0.5242,-1378.51,-0.5242,-0.0006,-0.4947,-97.0000,-0.5243,-97.0000,-0.5243,-0.0003,-0.4642,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Foodworks BYO Bowl,a1ec0aa0b8651adb168fe28e938d8fdd,9194.25,9194.25,0.0045,615.0000,615,0.0027,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Curry,bd0e970348fd3d0bbb878201f9e6fd93,37.70,188.50,0.0001,3.6000,18,0.0001,,13,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
