"item_name_updated","period","avg_cost"
"Cauliflower + Quinoa Bowl","P01-2026",0.6100
"Paneer Tikka Bowl","P01-2026",0.6100
"Tandoori Paneer Burrito","P01-2026",1.0300
"Mini Samosas","P01-2026",1.1700
"Swirl Soft Serve","P01-2026",0.9500
"BYO Grain Bowl","P01-2026",0.6100
"BYO Salad Bowl","P01-2026",0.6100
"Butter Chicken","P01-2026",3.2300
"Kids Meal","P01-2026",1.0500
"Mango Lassi","P01-2026",1.5100
"BYO Grain Bowl","P02-2026",0.6100
"BYO Greens + Grains Bowl","P02-2026",0.6100
"BYO Salad Bowl","P02-2026",0.6100
"Chicken Tikka Bowl","P02-2026",0.6100
"Lamb Kebab Bowl","P02-2026",0.6100
"Paneer Tikka Bowl","P02-2026",0.6100
"Chicken Tikka + Avocado Salad","P02-2026",0.6100
"Spicy Chili Chicken Bowl","P02-2026",0.6100
"Spiced Cauli + Quinoa Bowl","P02-2026",0.6100
"Chicken Tikka Masala","P02-2026",3.2200
"Paneer Tikka Masala","P02-2026",3.5300
"Aloo Gobhi","P02-2026",2.3900
"Lamb Kofta Korma","P02-2026",4.3700
"Saag Paneer","P02-2026",2.7000
"Paneer Butter Masala","P02-2026",3.5200
"Butter Chicken","P02-2026",3.2200
"Pick 2 Combo Plate","P02-2026",0.8000
"Chicken Curry","P02-2026",3.1600
"Coconut Veggie Curry","P02-2026",3.7300
"Saag Chole","P02-2026",1.2400
"Kids Meal","P02-2026",1.0500
"Spindrift - Lemon","P02-2026",1.1200
"Open Water Still Water","P02-2026",1.2000
"Olipop - Cola","P02-2026",1.8600
"Open Water Sparkling Water","P02-2026",1.1700
"Mango Lassi","P02-2026",1.4900
"Olipop - Lemon Lime","P02-2026",1.8600
"Masala Chai - Oat Milk","P02-2026",1.8300
"Iced Oat Masala Chai","P02-2026",1.8100
"Spindrift - Grapefruit","P02-2026",1.1100
"Wild Kombucha - Mango Peach","P02-2026",3.2600
"Masala Chai","P02-2026",1.5100
"Homemade Juice","P02-2026",
"Maine Root Fountain Soda","P02-2026",0.3600
"Strawberry Lassi","P02-2026",1.2900
"Wild Kombucha - Ginger","P02-2026",3.2600
"Icaro - Spearmint Yerba Mate","P02-2026",2.1200
"Olipop - Root Beer","P02-2026",2.1600
"Tandoori Paneer Burrito","P02-2026",1.0300
"BYO Indian Burrito","P02-2026",1.0300
"Butter Chicken Burrito","P02-2026",1.0300
"Masala Chai Cookies","P02-2026",0.3300
"Olipop - Cola","P03-2026",1.8600
"Sweet Cardamom Yogurt","P02-2026",0.8800
"Mini Samosas","P02-2026",1.1700
"Naan","P02-2026",0.4700
"Cucumber Raita","P02-2026",0.4800
"That Fire Hot Sauce - Side","P02-2026",0.4300
"Garlic Naan","P02-2026",0.5700
"Samosa Chaat","P02-2026",2.2100
"Side of Main","P02-2026",
"Side of Grain","P02-2026",
"Side of Veggie","P02-2026",
"Side of Sauce","P02-2026",
"That Fire Hot Sauce (Bottle)","P02-2026",3.3700
"Chips + Chutney","P02-2026",0.7400
"Garlic Naan","P02-2026",0.5700
"Mini Samosas","P02-2026",1.1700
"Samosa Chaat","P02-2026",2.2100
"Side of Main","P02-2026",
"That Fire Hot Sauce (Bottle)","P02-2026",3.3700
"That Fire Hot Sauce - Side","P02-2026",0.4300
"Naan","P02-2026",0.4700
"Side of Sauce","P02-2026",
"Side of Veggie","P02-2026",
"Cucumber Raita","P02-2026",0.4800
"Side of Grain","P02-2026",
"Roti","P02-2026",0.6200
"Chips + Chutney","P02-2026",0.7400
"Paneer Tikka Bowl","P02-2026",3.3300
"Spicy Chili Chicken Bowl","P02-2026",2.8800
"Chicken Tikka Bowl","P02-2026",2.7800
"Spiced Cauli + Quinoa Bowl","P02-2026",3.0600
"Harvest Chicken Bowl","P02-2026",3.2400
"Chicken Tikka + Avocado Salad","P02-2026",2.8200
"Lamb Kebab Bowl","P02-2026",3.7800
"Shutdown Bowl - Veg","P02-2026",3.0100
"Masala Chai Cookies","P02-2026",0.3300
"Swirl Soft Serve","P02-2026",0.9500
"Masala Chai Soft Serve","P02-2026",1.3200
"Sweet Cardamom Yogurt","P02-2026",0.8800
"Vanilla Mango Lassi Soft Serve","P02-2026",1.0000
"Mango Lassi Soft Serve","P02-2026",1.0000
"Chocolate Chai Soft Serve","P02-2026",0.9100
"BYO Greens + Grains Bowl","P02-2026",1.7700
"BYO Grain Bowl","P02-2026",1.7500
"BYO Salad Bowl","P02-2026",2.0200
"BYO Indian Burrito","P02-2026",2.7600
"Tandoori Paneer Burrito","P02-2026",3.3500
"Chicken Tikka Burrito","P02-2026",3.0000
"Spicy Chicken Burrito","P02-2026",2.6600
"Butter Chicken Burrito","P02-2026",3.8700
"Saag Paneer","P02-2026",2.8200
"Chicken Tikka Masala","P02-2026",3.3400
"Aloo Gobhi","P02-2026",2.5100
"Pick 2 Combo Plate","P02-2026",0.9200
"Chicken Curry","P02-2026",3.2800
"Lamb Kofta Korma","P02-2026",4.4900
"Butter Chicken","P02-2026",3.3300
"Paneer Butter Masala","P02-2026",3.6400
"Saag Chole","P02-2026",1.3600
"Paneer Tikka Masala","P02-2026",3.6500
"Kids Meal","P02-2026",0.9600
"Garlic Naan","P02-2026",0.5700
"Samosa Chaat","P02-2026",2.2100
"That Fire Hot Sauce (Bottle)","P02-2026",3.3700
"Side of Veggie","P02-2026",
"Side of Main","P02-2026",
"Mini Samosas","P02-2026",1.1700
"Naan","P02-2026",0.4700
"Side of Grain","P02-2026",
"Chips + Chutney","P02-2026",0.7400
"Side of Sauce","P02-2026",
"Spiced Cauli + Quinoa Bowl","P02-2026",0.6100
"Chicken Tikka + Avocado Salad","P02-2026",0.6100
"Butter Chicken Burrito","P02-2026",1.0300
"Tandoori Paneer Burrito","P02-2026",1.0300
"BYO Indian Burrito","P02-2026",1.0300
"BYO Salad Bowl","P02-2026",0.6100
"Masala Chai - Oat Milk","P02-2026",1.8300
"Mango Lassi","P02-2026",1.4900
"Masala Chai","P02-2026",1.5100
"Olipop - Lemon Lime","P02-2026",1.8600
"Icaro - Spearmint Yerba Mate","P02-2026",2.1200
"BYO Salad Bowl","P05-2026",2.0987
"Strawberry Lassi","P02-2026",1.2900
"BYO Grain Bowl","P05-2026",1.7222
"BYO Greens + Grains Bowl","P05-2026",1.7722
"BYO Indian Burrito","P05-2026",3.2442
"Chicken Tikka Bowl","P05-2026",2.8794
"Spicy Chili Chicken Bowl","P05-2026",2.9094
"Lamb Kebab Bowl","P05-2026",3.7851
"Paneer Tikka Bowl","P05-2026",3.3106
"Chicken Tikka + Avocado Salad","P05-2026",3.3806
"Iced Oat Masala Chai","P02-2026",1.8100
"Open Water Still Water","P02-2026",1.2000
"Maine Root Fountain Soda","P02-2026",0.3600
"Homemade Juice","P02-2026",
"Wild Kombucha - Mango Peach","P02-2026",3.2600
"Olipop - Cola","P02-2026",1.8600
"Wild Kombucha - Ginger","P02-2026",3.2600
"Spindrift - Grapefruit","P02-2026",1.1100
"Spindrift - Lemon","P02-2026",1.1200
"Open Water Sparkling Water","P02-2026",1.1700
"Olipop - Root Beer","P02-2026",2.1600
"Butter Chicken","P02-2026",3.2200
"Chicken Tikka Masala","P02-2026",3.2200
"Aloo Gobhi","P02-2026",2.3900
"Paneer Butter Masala","P02-2026",3.5200
"Saag Paneer","P02-2026",2.7000
"Sweet Cardamom Yogurt","P02-2026",0.8800
"Kids Meal","P02-2026",1.0500
"Wild Kombucha - Mango Peach","P02-2026",3.2600
"Olipop - Lemon Lime","P02-2026",1.8600
"Homemade Juice","P02-2026",
"Olipop - Root Beer","P02-2026",2.1600
"LaCroix - Lime","P02-2026",0.6100
"Spindrift - Grapefruit","P02-2026",1.1100
"Spindrift - Lemon","P02-2026",1.1200
"Olipop - Cola","P02-2026",1.8600
"Mango Lassi","P02-2026",1.4900
"Open Water Still Water","P02-2026",1.2000
"Open Water Sparkling Water","P02-2026",1.1700
"Wild Kombucha - Ginger","P02-2026",3.2600
"Maine Root Fountain Soda","P02-2026",0.3600
"Icaro - Spearmint Yerba Mate","P02-2026",2.1200
"LaCroix - Grapefruit","P02-2026",0.6200
"Iced Oat Masala Chai","P02-2026",1.8100
"Fresh Young Coconut","P02-2026",3.3300
"Strawberry Lassi","P02-2026",1.2900
"Mont Gravet Rose-gl","P02-2026",1.6800
"Borsao Granache-gl","P02-2026",1.6500
"Indaba Sauvignon Blanc Bottle","P02-2026",6.5400
"Borsao Granache Bottle","P02-2026",6.9500
"Indaba Sauvignon Blanc-gl","P02-2026",1.5500
"Tamarind Margarita","P02-2026",2.2000
"Spiked Lassi","P02-2026",1.2300
"Masala Chai","P02-2026",1.5100
