"period","menu","item_name","item_name_updated","menu_group","category_1","category_2","avg_cost","loaded_at"
"P01-2026","DELIVERY","Maine Root Fountain Soda","Maine Root Fountain Soda","DRINKS","Maine Root Fountain Soda","Canned Soda",0.3600,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Olipop - Root Beer","Olipop - Root Beer","DRINKS","Olipop","Olipop",2.1600,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Olipop Cola","Olipop Cola","DRINKS","Olipop","Olipop",1.9500,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate","DRINKS","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate",2.1200,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Mini Samosas","Mini Samosas","SIDES","Mini Samosas","Mini Samosas",1.1700,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Naan","Naan","SIDES","Naan","Naan",0.4900,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Cucumber Raita","Cucumber Raita","SIDES","Cucumber Raita","Cucumber Raita",0.4800,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side","SIDES","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side",0.4400,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Garlic Naan","Garlic Naan","SIDES","Garlic Naan","Garlic Naan",0.6000,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Samosa Chaat","Samosa Chaat","SIDES","Samosa Chaat","Samosa Chaat",2.3700,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Chips + Chutney","Chips + Chutney","SIDES","Chips + Chutney","Chips + Chutney",0.7400,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Side of Sauce","Side of Sauce","SIDES","Side of Sauce","Side of Sauce",,"2026-06-24 10:52:38.141736+00"
"P01-2026","DELIVERY","Side of Main","Side of Main","SIDES","Side of Main","Side of Main",,"2026-06-24 10:52:38.141736+00"
