"period","recipe_name","clean_name","portion_unit","cogs_account","total_cost","cost_per_portion","loaded_at"
"P02-2026","MI Lemon Turmeric Rice - Desi Deluxe","Lemon Turmeric Rice - Desi Deluxe","Each",,0.1055,0.1055,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lemon Turmeric Rice - Party Pack","Lemon Turmeric Rice - Party Pack","Each",,0.1318,0.1318,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lemon Turmeric Rice - Side","Lemon Turmeric Rice - Side","Each",,0.3681,0.3681,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lentil Chip Tray - 10","Lentil Chip Tray - 10","Each",,4.3069,4.3069,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lentil Chips","Lentil Chips","Each",,0.0416,0.0416,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Maine Root - Blueberry","Maine Root - Blueberry","Each",,0.1961,0.1961,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Maine Root - Diet Mexican Cola","Maine Root - Diet Mexican Cola","Each",,0.1961,0.1961,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Maine Root - Ginger Brew","Maine Root - Ginger Brew","Each",,0.1961,0.1961,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Maine Root - Lemon Lime","Maine Root - Lemon Lime","Each",,0.1961,0.1961,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Maine Root - Mexicane Cola","Maine Root - Mexicane Cola","Each",,0.1961,0.1961,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Maine Root - Root Beer","Maine Root - Root Beer","Each",,0.1961,0.1961,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Coconut Yogurt","Mango Coconut Yogurt","Each",,0.2295,0.2295,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Mango Coconut Yogurt - Classic","Mango Coconut Yogurt - Classic","Each",,0.0987,0.0987,"2026-06-24 10:52:32.052209+00"
